Sensor 1 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+6.85986328 -5.23388672 +1.05908203 +177.86865234 -9.44824219 +0.74707031 +1489583519.01120000 +820
+6.85546875 -5.23388672 +1.05029297 +177.86865234 -9.53613281 +0.68115234 +1489583519.01609990 +820
+6.84667969 -5.23388672 +1.04589844 +177.84667969 -9.60205078 +0.63720703 +1489583519.02099990 +820
+6.84228516 -5.22949219 +1.03710938 +177.84667969 -9.68994141 +0.57128906 +1489583519.02580000 +820
+6.83789063 -5.22949219 +1.03271484 +177.84667969 -9.75585938 +0.50537109 +1489583519.03070000 +820
+6.82910156 -5.22509766 +1.02392578 +177.84667969 -9.84375000 +0.46142578 +1489583519.03559990 +820
+6.82470703 -5.22509766 +1.01953125 +177.82470703 -9.90966797 +0.39550781 +1489583519.04040000 +816
+6.82031250 -5.22509766 +1.01074219 +177.82470703 -9.99755859 +0.32958984 +1489583519.04530000 +816
+6.81152344 -5.22070313 +1.00634766 +177.82470703 -10.06347656 +0.28564453 +1489583519.05020000 +816
+6.80712891 -5.22070313 +0.99755859 +177.82470703 -10.15136719 +0.21972656 +1489583519.05500010 +816
+6.79833984 -5.21630859 +0.99316406 +177.80273438 -10.21728516 +0.15380859 +1489583519.05990000 +816
+6.79394531 -5.21630859 +0.98876953 +177.80273438 -10.30517578 +0.10986328 +1489583519.06480000 +816
+6.78515625 -5.21191406 +0.97998047 +177.80273438 -10.37109375 +0.04394531 +1489583519.06960010 +812
+6.78076172 -5.21191406 +0.97558594 +177.80273438 -10.45898438 -0.02197266 +1489583519.07450010 +812
+6.77197266 -5.20751953 +0.97119141 +177.80273438 -10.54687500 -0.08789063 +1489583519.07929990 +812
+6.76757813 -5.20751953 +0.96679688 +177.78076172 -10.61279297 -0.15380859 +1489583519.08419990 +812
+6.75878906 -5.20312500 +0.96240234 +177.78076172 -10.70068359 -0.19775391 +1489583519.08909990 +812
+6.75439453 -5.20312500 +0.95361328 +177.78076172 -10.76660156 -0.26367188 +1489583519.09390000 +812
+6.74560547 -5.19873047 +0.94921875 +177.78076172 -10.85449219 -0.32958984 +1489583519.09879990 +812
+6.73681641 -5.19873047 +0.94482422 +177.78076172 -10.92041016 -0.39550781 +1489583519.10369990 +808
+6.73242188 -5.19433594 +0.94042969 +177.78076172 -11.00830078 -0.46142578 +1489583519.10850000 +808
+6.72363281 -5.18994141 +0.93603516 +177.78076172 -11.07421875 -0.52734375 +1489583519.11340000 +808
+6.71923828 -5.18994141 +0.93164063 +177.78076172 -11.14013672 -0.59326172 +1489583519.11830000 +808
+6.71044922 -5.18554688 +0.92724609 +177.78076172 -11.20605469 -0.63720703 +1489583519.12310000 +808
+6.70166016 -5.18115234 +0.92285156 +177.75878906 -11.27197266 -0.70312500 +1489583519.12800000 +808
+6.69726563 -5.18115234 +0.91845703 +177.75878906 -11.31591797 -0.76904297 +1489583519.13290000 +804
+6.68847656 -5.17675781 +0.91406250 +177.75878906 -11.35986328 -0.83496094 +1489583519.13770010 +804
+6.68408203 -5.17236328 +0.90966797 +177.75878906 -11.40380859 -0.87890625 +1489583519.14260010 +804
+6.67529297 -5.16796875 +0.90966797 +177.75878906 -11.44775391 -0.94482422 +1489583519.14750000 +804
+6.66650391 -5.16357422 +0.90527344 +177.73681641 -11.49169922 -0.98876953 +1489583519.15229990 +804
+6.66210938 -5.15917969 +0.90087891 +177.73681641 -11.51367188 -1.05468750 +1489583519.15720010 +800
+6.65332031 -5.15478516 +0.89648438 +177.73681641 -11.53564453 -1.09863281 +1489583519.16210010 +800
+6.64453125 -5.14599609 +0.89208984 +177.73681641 -11.55761719 -1.16455078 +1489583519.16689990 +800
+6.64013672 -5.14160156 +0.89208984 +177.71484375 -11.57958984 -1.20849609 +1489583519.17179990 +800
+6.63134766 -5.13720703 +0.88769531 +177.71484375 -11.60156250 -1.25244141 +1489583519.17660000 +800
+6.62255859 -5.12841797 +0.88330078 +177.71484375 -11.60156250 -1.29638672 +1489583519.18150000 +800
+6.61816406 -5.12402344 +0.88330078 +177.69287109 -11.60156250 -1.34033203 +1489583519.18639990 +796
+6.60937500 -5.11962891 +0.87890625 +177.67089844 -11.60156250 -1.38427734 +1489583519.19120000 +796
+6.60058594 -5.11083984 +0.87890625 +177.67089844 -11.60156250 -1.42822266 +1489583519.19610000 +796
+6.59619141 -5.10205078 +0.87451172 +177.67089844 -11.60156250 -1.45019531 +1489583519.20100000 +796
+6.58740234 -5.09765625 +0.87451172 +177.64892578 -11.57958984 -1.49414063 +1489583519.20580010 +792
+6.57861328 -5.08886719 +0.87011719 +177.64892578 -11.57958984 -1.53808594 +1489583519.21070000 +792
+6.56982422 -5.08447266 +0.87011719 +177.62695313 -11.57958984 -1.58203125 +1489583519.21560000 +792
+6.56542969 -5.07568359 +0.87011719 +177.62695313 -11.55761719 -1.60400391 +1489583519.22040010 +788
+6.55664063 -5.06689453 +0.86572266 +177.60498047 -11.53564453 -1.64794922 +1489583519.22530010 +788
+6.54785156 -5.05810547 +0.86572266 +177.60498047 -11.53564453 -1.69189453 +1489583519.23020010 +788
+6.53906250 -5.05371094 +0.86572266 +177.60498047 -11.49169922 -1.73583984 +1489583519.23499990 +788
+6.53466797 -5.04492188 +0.86572266 +177.58300781 -11.49169922 -1.77978516 +1489583519.23990010 +784
+6.52587891 -5.03613281 +0.86572266 +177.58300781 -11.46972656 -1.82373047 +1489583519.24480010 +784
+6.51708984 -5.02734375 +0.86572266 +177.58300781 -11.44775391 -1.86767578 +1489583519.24959990 +784
+6.50830078 -5.02294922 +0.86572266 +177.56103516 -11.42578125 -1.93359375 +1489583519.25449990 +780
+6.50390625 -5.01416016 +0.86572266 +177.56103516 -11.40380859 -1.99951172 +1489583519.25930000 +780
+6.49511719 -5.00537109 +0.86572266 +177.56103516 -11.38183594 -2.04345703 +1489583519.26420000 +780
+6.48632813 -4.99658203 +0.86572266 +177.56103516 -11.35986328 -2.10937500 +1489583519.26910000 +780
+6.47753906 -4.98779297 +0.86572266 +177.56103516 -11.33789063 -2.19726563 +1489583519.27390000 +776
+6.47314453 -4.97900391 +0.86572266 +177.53906250 -11.29394531 -2.24121094 +1489583519.27880000 +776
+6.46435547 -4.97460938 +0.86572266 +177.53906250 -11.27197266 -2.32910156 +1489583519.28370000 +776
+6.45556641 -4.96582031 +0.87011719 +177.53906250 -11.25000000 -2.41699219 +1489583519.28850010 +772
+6.44677734 -4.95703125 +0.87011719 +177.53906250 -11.22802734 -2.48291016 +1489583519.29340000 +772
+6.44238281 -4.94824219 +0.87011719 +177.53906250 -11.18408203 -2.57080078 +1489583519.29830000 +772
+6.43359375 -4.93945313 +0.87451172 +177.53906250 -11.16210938 -2.65869141 +1489583519.30310010 +768
+6.42919922 -4.93505859 +0.87451172 +177.53906250 -11.14013672 -2.72460938 +1489583519.30800010 +768
+6.42041016 -4.92626953 +0.87890625 +177.53906250 -11.11816406 -2.83447266 +1489583519.31290010 +768
+6.41601563 -4.91748047 +0.87890625 +177.53906250 -11.09619141 -2.92236328 +1489583519.31769990 +764
+6.40722656 -4.91308594 +0.88330078 +177.56103516 -11.07421875 -2.98828125 +1489583519.32259990 +764
+6.40283203 -4.90429688 +0.88330078 +177.56103516 -11.05224609 -3.07617188 +1489583519.32750010 +764
+6.39404297 -4.89550781 +0.88769531 +177.56103516 -11.05224609 -3.16406250 +1489583519.33229990 +760
+6.38964844 -4.89111328 +0.88769531 +177.58300781 -11.03027344 -3.25195313 +1489583519.33719990 +760
+6.38085938 -4.88671875 +0.89208984 +177.58300781 -11.03027344 -3.33984375 +1489583519.34200000 +760
+6.37646484 -4.87792969 +0.89648438 +177.58300781 -11.00830078 -3.40576172 +1489583519.34690000 +760
+6.37207031 -4.87353516 +0.89648438 +177.60498047 -11.00830078 -3.47167969 +1489583519.35180000 +756
+6.36767578 -4.86474609 +0.90087891 +177.60498047 -11.00830078 -3.55957031 +1489583519.35660000 +756
+6.36328125 -4.86035156 +0.90527344 +177.60498047 -11.00830078 -3.62548828 +1489583519.36150000 +756
+6.35888672 -4.85595703 +0.90966797 +177.62695313 -11.00830078 -3.66943359 +1489583519.36640000 +752
+6.35009766 -4.85156250 +0.90966797 +177.62695313 -11.00830078 -3.73535156 +1489583519.37120010 +752
+6.34570313 -4.84277344 +0.91406250 +177.64892578 -11.00830078 -3.77929688 +1489583519.37610010 +752
+6.34570313 -4.83837891 +0.91845703 +177.64892578 -11.03027344 -3.84521484 +1489583519.38100000 +748
+6.33691406 -4.83398438 +0.92285156 +177.64892578 -11.03027344 -3.88916016 +1489583519.38579990 +748
+6.33691406 -4.82958984 +0.92724609 +177.67089844 -11.03027344 -3.91113281 +1489583519.39070010 +748
+6.33251953 -4.82519531 +0.92724609 +177.67089844 -11.05224609 -3.95507813 +1489583519.39560010 +748
+6.32812500 -4.82080078 +0.93164063 +177.67089844 -11.05224609 -3.99902344 +1489583519.40039990 +744
+6.32373047 -4.81640625 +0.93603516 +177.69287109 -11.07421875 -4.02099609 +1489583519.40529990 +744
+6.32373047 -4.81201172 +0.94042969 +177.69287109 -11.07421875 -4.04296875 +1489583519.41020010 +744
+6.31933594 -4.81201172 +0.94482422 +177.69287109 -11.09619141 -4.06494141 +1489583519.41500000 +744
+6.31494141 -4.80761719 +0.94921875 +177.69287109 -11.09619141 -4.06494141 +1489583519.41989990 +740
+6.31494141 -4.80322266 +0.94921875 +177.71484375 -11.11816406 -4.08691406 +1489583519.42479990 +740
+6.31054688 -4.79882813 +0.95361328 +177.69287109 -11.11816406 -4.08691406 +1489583519.42960000 +740
+6.31054688 -4.79882813 +0.95800781 +177.69287109 -11.11816406 -4.08691406 +1489583519.43450000 +740
+6.31054688 -4.79443359 +0.96240234 +177.69287109 -11.11816406 -4.10888672 +1489583519.43930010 +740
+6.30615234 -4.79003906 +0.96679688 +177.69287109 -11.14013672 -4.10888672 +1489583519.44420000 +736
+6.30615234 -4.79003906 +0.97119141 +177.69287109 -11.14013672 -4.10888672 +1489583519.44910000 +736
+6.30615234 -4.78564453 +0.97119141 +177.69287109 -11.14013672 -4.10888672 +1489583519.45390010 +736
+6.30175781 -4.78564453 +0.97558594 +177.69287109 -11.14013672 -4.10888672 +1489583519.45880010 +736
+6.30175781 -4.78125000 +0.97998047 +177.67089844 -11.14013672 -4.10888672 +1489583519.46370010 +736
+6.30175781 -4.77685547 +0.98437500 +177.67089844 -11.14013672 -4.08691406 +1489583519.46849990 +732
+6.30175781 -4.77685547 +0.98876953 +177.67089844 -11.14013672 -4.08691406 +1489583519.47340010 +732
+6.30175781 -4.77246094 +0.99316406 +177.67089844 -11.11816406 -4.08691406 +1489583519.47830010 +732
